"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20141231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","2074981000","1114179000"
"20141231","3510","BANK OF AMERICA, NATIONAL ASSOCIATION","CHARLOTTE","NC","N","1574093000","1143477000"
"20141231","3511","WELLS FARGO BANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1532784000","1062122000"
"20141231","7213","CITIBANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1356442000","455561000"
"20141231","6548","U.S. BANK NATIONAL ASSOCIATION","CINCINNATI","OH","N","398978359","263562953"
"20141231","6384","PNC BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","335060015","230485077"
"20141231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","304166000","137928000"
"20141231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","269781143","109476550"
"20141231","4297","CAPITAL ONE, NATIONAL ASSOCIATION","MCLEAN","VA","N","255011219","191527761"
"20141231","18409","TD BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","230280000","191638468"
"20141231","867","SUNTRUST BANK","ATLANTA","GA","SM","185888583","142894869"
"20141231","9846","BRANCH BANKING AND TRUST COMPANY","WINSTON SALEM","NC","NM","182489046","136977855"
"20141231","57890","HSBC BANK USA, NATIONAL ASSOCIATION","MCLEAN","VA","N","178676927","117316713"
"20141231","6672","FIFTH THIRD BANK","CINCINNATI","OH","SM","136279317","103812683"
"20141231","23702","CHASE BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","130662640","45760042"
"20141231","32992","MORGAN STANLEY BANK, NATIONAL ASSOCIATION","SALT LAKE CITY","UT","N","125528000","109275000"
"20141231","12368","REGIONS BANK","BIRMINGHAM","AL","SM","118801412","96178217"
"20141231","33124","GOLDMAN SACHS BANK USA","NEW YORK","NY","SM","118214000","72380000"
"20141231","22826","MUFG UNION BANK, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","113120106","85892352"
"20141231","57450","CHARLES SCHWAB BANK","RENO","NV","SB","111278000","102885000"
"20141231","913","THE NORTHERN TRUST COMPANY","CHICAGO","IL","SM","109596957","41369471"
"20141231","57803","ALLY BANK","MIDVALE","UT","NM","104474692","58212805"
"20141231","57957","CITIZENS BANK, NATIONAL ASSOCIATION","PROVIDENCE","RI","N","102971333","70246534"
"20141231","16571","BMO HARRIS BANK NATIONAL ASSOCIATION","CHICAGO","IL","N","97496905","76498134"
"20141231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","95920564","74609648"
"20141231","17534","KEYBANK NATIONAL ASSOCIATION","CLEVELAND","OH","N","91782513","73799445"
"20141231","33954","CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION","GLEN ALLEN","VA","N","90652741","53694635"
"20141231","5649","DISCOVER BANK","GREENWOOD","DE","NM","81661915","46104300"
"20141231","29950","SANTANDER BANK, N.A.","WILMINGTON","DE","N","80472892","54014464"
"20141231","19048","COMPASS BANK","BIRMINGHAM","AL","SM","79624593","61180974"
"20141231","3514","BANK OF THE WEST","SAN FRANCISCO","CA","NM","71682343","51257525"
"20141231","983","COMERICA BANK","DALLAS","TX","SM","69310249","56978244"
"20141231","32188","USAA FEDERAL SAVINGS BANK","SAN ANTONIO","TX","SB","67301894","59950323"
"20141231","6560","THE HUNTINGTON NATIONAL BANK","COLUMBUS","OH","N","66111039","52114579"
"20141231","33653","BANK OF CHINA","NEW YORK","NY","OI","61586922","19153067"
"20141231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","53529000","41081000"
"20141231","27314","SYNCHRONY BANK","DRAPER","UT","SB","49672600","36688964"
"20141231","57565","UBS BANK USA","SALT LAKE CITY","UT","NM","48481911","43809835"
"20141231","59017","FIRST REPUBLIC BANK","SAN FRANCISCO","CA","NM","48353330","37130929"
"20141231","35328","AMERICAN EXPRESS BANK, FSB.","SALT LAKE CITY","UT","SB","44887004","30615666"
"20141231","30746","E*TRADE BANK","ARLINGTON","VA","SB","44672387","33103777"
"20141231","16022","NEW YORK COMMUNITY BANK","WESTBURY","NY","SI","44281869","25863066"
"20141231","16004","FIRST NIAGARA BANK, NATIONAL ASSOCIATION","BUFFALO","NY","N","38494804","28280938"
"20141231","24735","SILICON VALLEY BANK","SANTA CLARA","CA","SM","37619619","30896597"
"20141231","13074","HUDSON CITY SAVINGS BANK","PARAMUS","NJ","SB","36565446","19510271"
"20141231","27334","PEOPLE'S UNITED BANK","BRIDGEPORT","CT","SB","35755742","26145965"
"20141231","27471","AMERICAN EXPRESS CENTURION BANK","SALT LAKE CITY","UT","NM","34758392","13289480"
"20141231","57282","CITIZENS BANK OF PENNSYLVANIA","PHILADELPHIA","PA","SI","32914202","26383259"
"20141231","17281","CITY NATIONAL BANK","LOS ANGELES","CA","N","32314043","28376032"
"20141231","4214","BOKF, NATIONAL ASSOCIATION","TULSA","OK","N","28953664","21696903"
"20141231","31628","EAST WEST BANK","PASADENA","CA","SM","28678038","23235275"
"20141231","5510","FROST BANK","SAN ANTONIO","TX","SM","28327456","24219048"
"20141231","34221","MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION","PURCHASE","NY","N","27356000","23305000"
