"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","29967","UNION BUILDING AND LOAN SAVINGS BANK","WEST BRIDGEWATER","PA","SI","37346","29927"
"20131231","3770","THE FIRST NATIONAL BANK OF BROWNSTOWN","BROWNSTOWN","IL","N","37320","33611"
"20131231","18148","CITIZENS STATE BANK","TENAHA","TX","NM","37272","32783"
"20131231","8097","FARMERS SAVINGS BANK","VICTOR","IA","NM","37260","31196"
"20131231","13697","THE OLPE STATE BANK","OLPE","KS","NM","37167","31745"
"20131231","27518","VALLEY BANK","GLASGOW","MT","SM","37112","33747"
"20131231","9003","MENNO STATE BANK","MENNO","SD","NM","37107","33144"
"20131231","9120","ROLETTE STATE BANK","ROLETTE","ND","NM","37089","33728"
"20131231","3167","FIRST BANK & TRUST COMPANY","DAWSON","TX","SM","37015","35229"
"20131231","10641","TRI VALLEY BANK","TALMAGE","NE","NM","36948","34061"
"20131231","30492","JACKSON FEDERAL SAVINGS AND LOAN ASSOCIATION","JACKSON","MN","SB","36913","25836"
"20131231","17607","THE CITY STATE BANK","FORT SCOTT","KS","NM","36804","33694"
"20131231","17995","BANK OF GREELEY","GREELEY","KS","NM","36786","31955"
"20131231","9875","BANK OF CORDELL","CORDELL","OK","NM","36748","33022"
"20131231","16953","BANK OF CLARKS","CLARKS","NE","NM","36734","32163"
"20131231","10186","FIRST STATE BANK OF FERTILE","FERTILE","MN","NM","36672","32154"
"20131231","12391","STATE BANK OF SAUNEMIN","SAUNEMIN","IL","NM","36488","33120"
"20131231","30176","HOME SAVINGS BANK OF WAPAKONETA","WAPAKONETA","OH","SL","36469","31708"
"20131231","58282","EAGLE BANK","POLSON","MT","NM","36388","31461"
"20131231","30568","SOUTH END SAVINGS, S.B.","HOMEWOOD","IL","SI","36387","30822"
"20131231","29857","THE LIBERTY SAVINGS ASSOCIATION, FSA","FORT SCOTT","KS","SB","36384","29940"
"20131231","15123","STATE BANK OF CAZENOVIA","CAZENOVIA","WI","NM","36347","30220"
"20131231","8207","PRAIRIE SUN BANK","MILAN","MN","NM","36302","30422"
"20131231","18820","CEDAR RAPIDS STATE BANK","CEDAR RAPIDS","NE","NM","36301","29098"
"20131231","12225","FMB BANK","WRIGHT CITY","MO","NM","36282","31882"
"20131231","21085","BANK OF ONTARIO","ONTARIO","WI","NM","36229","31554"
"20131231","27716","MUTUAL SAVINGS AND LOAN ASSOCIATION","METAIRIE","LA","SB","36181","20660"
"20131231","19829","BANK OF COMMERCE","CHOUTEAU","OK","NM","36166","33049"
"20131231","16603","THE PEOPLES BANK","MARION","KY","SM","36109","30683"
"20131231","23244","NORTH ADAMS STATE BANK","URSA","IL","NM","36103","31737"
"20131231","24443","PROGRESSIVE NATIONAL BANK OF DESOTO PARISH","MANSFIELD","LA","N","36070","32640"
"20131231","4668","FIRST NATIONAL BANK IN FRANKFORT","FRANKFORT","KS","N","36069","31152"
"20131231","22954","CITIZENS BANK OF MORGANTOWN, INC.","MORGANTOWN","WV","NM","36009","20884"
"20131231","8519","WHITE STATE BANK","SOUTH ENGLISH","IA","NM","35955","29150"
"20131231","9188","FARMERS & MERCHANTS BANK","ADAMSVILLE","TN","NM","35943","30604"
