"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20151231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","1914658000","1077380000"
"20151231","3510","BANK OF AMERICA, NATIONAL ASSOCIATION","CHARLOTTE","NC","N","1639305000","1213734000"
"20151231","3511","WELLS FARGO BANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1610580000","1120976000"
"20151231","7213","CITIBANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1299801000","451308000"
"20151231","6548","U.S. BANK NATIONAL ASSOCIATION","CINCINNATI","OH","N","417458234","279757877"
"20151231","6384","PNC BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","348291098","246253224"
"20151231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","319258000","128432000"
"20151231","4297","CAPITAL ONE, NATIONAL ASSOCIATION","MCLEAN","VA","N","273231606","203198585"
"20151231","18409","TD BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","246424795","207790649"
"20151231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","240898348","101723547"
"20151231","9846","BRANCH BANKING AND TRUST COMPANY","WINSTON SALEM","NC","NM","205125538","156893430"
"20151231","867","SUNTRUST BANK","ATLANTA","GA","SM","186710993","152617387"
"20151231","57890","HSBC BANK USA, NATIONAL ASSOCIATION","MCLEAN","VA","N","183138215","123770634"
"20151231","23702","CHASE BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","149425754","64965040"
"20151231","57450","CHARLES SCHWAB BANK","RENO","NV","SB","139069000","129564000"
"20151231","6672","FIFTH THIRD BANK","CINCINNATI","OH","SM","138620635","106684851"
"20151231","32992","MORGAN STANLEY BANK, NATIONAL ASSOCIATION","SALT LAKE CITY","UT","N","136028000","119652000"
"20151231","33124","GOLDMAN SACHS BANK USA","NEW YORK","NY","SM","134695000","88134000"
"20151231","12368","REGIONS BANK","BIRMINGHAM","AL","SM","125121263","99246808"
"20151231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","122099687","92891160"
"20151231","913","THE NORTHERN TRUST COMPANY","CHICAGO","IL","SM","116390764","40689087"
"20151231","22826","MUFG UNION BANK, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","115383696","84698699"
"20151231","57803","ALLY BANK","MIDVALE","UT","NM","111306727","66349246"
"20151231","57957","CITIZENS BANK, NATIONAL ASSOCIATION","PROVIDENCE","RI","N","108064717","76456860"
"20151231","16571","BMO HARRIS BANK NATIONAL ASSOCIATION","CHICAGO","IL","N","104121677","82075587"
"20151231","33954","CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION","GLEN ALLEN","VA","N","102172065","61906312"
"20151231","17534","KEYBANK NATIONAL ASSOCIATION","CLEVELAND","OH","N","93038275","73730011"
"20151231","29950","SANTANDER BANK, N.A.","WILMINGTON","DE","N","90192245","58832570"
"20151231","5649","DISCOVER BANK","GREENWOOD","DE","NM","85747508","49745989"
"20151231","19048","COMPASS BANK","BIRMINGHAM","AL","SM","85426845","66172765"
"20151231","3514","BANK OF THE WEST","SAN FRANCISCO","CA","NM","75743098","54153114"
"20151231","983","COMERICA BANK","DALLAS","TX","SM","71861217","59357059"
"20151231","32188","USAA FEDERAL SAVINGS BANK","SAN ANTONIO","TX","SB","71130930","63451104"
"20151231","6560","THE HUNTINGTON NATIONAL BANK","COLUMBUS","OH","N","70879778","56090169"
"20151231","33653","BANK OF CHINA","NEW YORK","NY","OI","69595490","22605736"
"20151231","27314","SYNCHRONY BANK","DRAPER","UT","SB","62858185","48166538"
"20151231","2270","ZIONS FIRST NATIONAL BANK","SALT LAKE CITY","UT","N","59401875","50971273"
"20151231","59017","FIRST REPUBLIC BANK","SAN FRANCISCO","CA","NM","58981285","47893465"
"20151231","35328","AMERICAN EXPRESS BANK, FSB.","SALT LAKE CITY","UT","SB","52824609","38029969"
"20151231","57565","UBS BANK USA","SALT LAKE CITY","UT","NM","52653111","47586865"
"20151231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","52122000","40526000"
