"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20161231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","2082803000","1236271000"
"20161231","3511","WELLS FARGO BANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1727279000","1218766000"
"20161231","3510","BANK OF AMERICA, NATIONAL ASSOCIATION","CHARLOTTE","NC","N","1677490000","1260061000"
"20161231","7213","CITIBANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1349581000","471527000"
"20161231","6548","U.S. BANK NATIONAL ASSOCIATION","CINCINNATI","OH","N","441010095","315464029"
"20161231","6384","PNC BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","355999734","255747768"
"20161231","4297","CAPITAL ONE, NATIONAL ASSOCIATION","MCLEAN","VA","N","286080320","216988709"
"20161231","18409","TD BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","269030606","228935718"
"20161231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","257576000","110284000"
"20161231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","239202604","93977914"
"20161231","9846","BRANCH BANKING AND TRUST COMPANY","WINSTON SALEM","NC","NM","214433035","167649027"
"20161231","867","SUNTRUST BANK","ATLANTA","GA","SM","200557635","161758587"
"20161231","57890","HSBC BANK USA, NATIONAL ASSOCIATION","MCLEAN","VA","N","197206045","130611323"
"20161231","57450","CHARLES SCHWAB BANK","RENO","NV","SB","175715000","163563000"
"20161231","33124","GOLDMAN SACHS BANK USA","NEW YORK","NY","SM","159116000","114789000"
"20161231","6672","FIFTH THIRD BANK","CINCINNATI","OH","SM","139776168","106832535"
"20161231","23702","CHASE BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","136183685","35419443"
"20161231","17534","KEYBANK NATIONAL ASSOCIATION","CLEVELAND","OH","N","134362217","107451944"
"20161231","32992","MORGAN STANLEY BANK, NATIONAL ASSOCIATION","SALT LAKE CITY","UT","N","129288000","112987000"
"20161231","12368","REGIONS BANK","BIRMINGHAM","AL","SM","125042021","100217552"
"20161231","913","THE NORTHERN TRUST COMPANY","CHICAGO","IL","SM","123547932","40823702"
"20161231","57803","ALLY BANK","MIDVALE","UT","SM","123547720","78953381"
"20161231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","122631667","97040002"
"20161231","57957","CITIZENS BANK, NATIONAL ASSOCIATION","PROVIDENCE","RI","N","116939799","82423844"
"20161231","22826","MUFG UNION BANK, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","115552770","88976401"
"20161231","33954","CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION","GLEN ALLEN","VA","N","113152757","69287922"
"20161231","16571","BMO HARRIS BANK NATIONAL ASSOCIATION","CHICAGO","IL","N","106169829","79772038"
"20161231","6560","THE HUNTINGTON NATIONAL BANK","COLUMBUS","OH","N","99554985","77582768"
"20161231","5649","DISCOVER BANK","GREENWOOD","DE","NM","91146995","53900805"
"20161231","3514","BANK OF THE WEST","SAN FRANCISCO","CA","NM","83730044","62277466"
"20161231","19048","COMPASS BANK","BIRMINGHAM","AL","SM","83640475","67549540"
"20161231","29950","SANTANDER BANK, N.A.","WILMINGTON","DE","N","83094906","59627701"
"20161231","32188","USAA FEDERAL SAVINGS BANK","SAN ANTONIO","TX","SB","77760914","69290232"
"20161231","59017","FIRST REPUBLIC BANK","SAN FRANCISCO","CA","NM","73277772","58602381"
"20161231","983","COMERICA BANK","DALLAS","TX","SM","73018220","59204342"
"20161231","27314","SYNCHRONY BANK","DRAPER","UT","SB","71790226","54743590"
"20161231","2270","ZB, NATIONAL ASSOCIATION","SALT LAKE CITY","UT","N","63076162","53819075"
"20161231","33653","BANK OF CHINA","NEW YORK","NY","OI","60974137","22080198"
"20161231","57565","UBS BANK USA","SALT LAKE CITY","UT","NM","56935844","51686804"
"20161231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","53781000","42079000"
"20161231","34221","MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION","PURCHASE","NY","N","52958000","45729000"
"20161231","35328","AMERICAN EXPRESS BANK, FSB.","SALT LAKE CITY","UT","SB","49268864","37675314"
"20161231","17281","CITY NATIONAL BANK","LOS ANGELES","CA","N","46120923","40959580"
"20161231","16022","NEW YORK COMMUNITY BANK","WESTBURY","NY","SI","45524776","26526799"
"20161231","24735","SILICON VALLEY BANK","SANTA CLARA","CA","SM","44068115","36716644"
"20161231","58978","CIT BANK, NATIONAL ASSOCIATION","PASADENA","CA","N","42230654","32357228"
"20161231","27334","PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION","BRIDGEPORT","CT","N","40287450","30179848"
"20161231","57053","SIGNATURE BANK","NEW YORK","NY","NM","39047611","31863527"
"20161231","57282","CITIZENS BANK OF PENNSYLVANIA","PHILADELPHIA","PA","SI","37000928","30149240"
"20161231","27471","AMERICAN EXPRESS CENTURION BANK","SALT LAKE CITY","UT","NM","36701524","17305773"
"20161231","30746","E*TRADE BANK","ARLINGTON","VA","SB","35772782","31972165"
"20161231","31628","EAST WEST BANK","PASADENA","CA","SM","34750506","28603664"
"20161231","11063","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","NC","NM","32814750","28183659"
"20161231","57203","BARCLAYS BANK DELAWARE","WILMINGTON","DE","NM","32506627","22782603"
"20161231","4214","BOKF, NATIONAL ASSOCIATION","TULSA","OK","N","32160352","22325034"
"20161231","5510","FROST BANK","SAN ANTONIO","TX","SM","30223311","25881842"
"20161231","873","SYNOVUS BANK","COLUMBUS","GA","SM","29874612","24885745"
"20161231","34968","BANCO POPULAR DE PUERTO RICO","SAN JUAN","PR","SM","29700000","24519000"
"20161231","5296","ASSOCIATED BANK, NATIONAL ASSOCIATION","GREEN BAY","WI","N","29070880","22286041"
"20161231","4977","FIRST TENNESSEE BANK, NATIONAL ASSOCIATION","MEMPHIS","TN","N","28351811","22911760"
"20161231","34775","EVERBANK","JACKSONVILLE","FL","SB","27829056","19778478"
"20161231","58979","BANKUNITED, NATIONAL ASSOCIATION","MIAMI LAKES","FL","N","27782765","19618709"
"20161231","18221","WEBSTER BANK, NATIONAL ASSOCIATION","WATERBURY","CT","N","26054251","19429409"
"20161231","24998","COMMERCE BANK","KANSAS CITY","MO","SM","25529171","21110986"
"20161231","17266","UMPQUA BANK","ROSEBURG","OR","NM","24798295","19120311"
"20161231","7946","BNY MELLON, NATIONAL ASSOCIATION","PITTSBURGH","PA","N","24452112","20249947"
"20161231","25178","BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","24004000","20241000"
"20161231","12441","WHITNEY BANK","GULFPORT","MS","NM","23887875","19748306"
"20161231","33947","TD BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","23245910","20636899"
"20161231","28892","INVESTORS BANK","SHORT HILLS","NJ","SI","23184708","15591294"
"20161231","9396","VALLEY NATIONAL BANK","PASSAIC","NJ","N","22827478","17799635"
"20161231","16835","PROSPERITY BANK","EL CAMPO","TX","NM","22318430","17318018"
"20161231","24045","PACIFIC WESTERN BANK","BEVERLY HILLS","CA","NM","21848644","16373799"
"20161231","34383","TEXAS CAPITAL BANK, NATIONAL ASSOCIATION","DALLAS","TX","N","21689804","17237330"
"20161231","7888","FIRST NATIONAL BANK OF PENNSYLVANIA","GREENVILLE","PA","N","21652010","16246212"
"20161231","28100","IBERIABANK","LAFAYETTE","LA","SM","21574595","17852993"
"20161231","28330","TCF NATIONAL BANK","SIOUX FALLS","SD","N","21455203","17390402"
"20161231","8273","UMB BANK, NATIONAL ASSOCIATION","KANSAS CITY","MO","N","20399583","16692167"
"20161231","33306","THE PRIVATEBANK AND TRUST COMPANY","CHICAGO","IL","NM","20039455","16118042"
"20161231","17985","FIRST HAWAIIAN BANK","HONOLULU","HI","NM","19610998","15535164"
"20161231","3628","MB FINANCIAL BANK, NATIONAL ASSOCIATION","CHICAGO","IL","N","19227800","14137496"
"20161231","5452","FIRST NATIONAL BANK OF OMAHA","OMAHA","NE","N","18938350","16124833"
"20161231","110","BANK OF THE OZARKS","LITTLE ROCK","AR","NM","18874479","15597059"
"20161231","58177","SALLIE MAE BANK","SALT LAKE CITY","UT","NM","18314349","13973261"
"20161231","34617","STATE FARM BANK, F.S.B.","BLOOMINGTON","IL","SB","18252081","10964080"
